Cabin,Total Passengers,Total Survivors,Total Died
A10,1,0,1
A14,1,0,1
A16,1,1,0
A19,1,0,1
A20,1,1,0
A23,1,1,0
A24,1,0,1
A26,1,1,0
A31,1,1,0
A32,1,0,1
A34,1,1,0
A36,1,0,1
A5,1,0,1
A6,1,1,0
A7,1,0,1
B101,1,1,0
B102,1,0,1
B18,2,2,0
B19,1,0,1
B20,2,2,0
B22,2,1,1
B28,2,2,0
B3,1,1,0
B30,1,0,1
B35,2,2,0
B37,1,0,1
B38,1,0,1
B39,1,1,0
B4,1,1,0
B41,1,1,0
B42,1,1,0
B49,2,2,0
B5,2,2,0
B50,1,1,0
B51 B53 B55,2,1,1
B57 B59 B63 B66,2,2,0
B58 B60,2,1,1
B69,1,1,0
B71,1,0,1
B73,1,1,0
B77,2,2,0
B78,1,1,0
B79,1,1,0
B80,1,1,0
B82 B84,1,0,1
B86,1,0,1
B94,1,0,1
B96 B98,4,4,0
C101,1,1,0
C103,1,1,0
C104,1,1,0
C106,1,1,0
C110,1,0,1
C111,1,0,1
C118,1,0,1
C123,2,1,1
C124,2,0,2
C125,2,2,0
C126,2,2,0
C128,1,0,1
C148,1,1,0
C2,2,1,1
C22 C26,3,1,2
C23 C25 C27,4,2,2
C30,1,0,1
C32,1,1,0
C45,1,1,0
C46,1,0,1
C47,1,1,0
C49,1,0,1
C50,1,1,0
C52,2,2,0
C54,1,1,0
C62 C64,1,1,0
C65,2,1,1
C68,2,1,1
C7,1,1,0
C70,1,1,0
C78,2,1,1
C82,1,0,1
C83,2,1,1
C85,1,1,0
C86,1,0,1
C87,1,0,1
C90,1,1,0
C91,1,0,1
C92,2,2,0
C93,2,2,0
C95,1,0,1
C99,1,1,0
D,3,2,1
D10 D12,1,1,0
D11,1,1,0
D15,1,1,0
D17,2,2,0
D19,1,1,0
D20,2,2,0
D21,1,1,0
D26,2,0,2
D28,1,1,0
D30,1,0,1
D33,2,2,0
D35,2,2,0
D36,2,2,0
D37,1,1,0
D45,1,1,0
D46,1,0,1
D47,1,1,0
D48,1,0,1
D49,1,1,0
D50,1,0,1
D56,1,1,0
D6,1,0,1
D7,1,1,0
D9,1,1,0
E10,1,1,0
E101,3,3,0
E12,1,1,0
E121,2,2,0
E17,1,1,0
E24,2,2,0
E25,2,2,0
E31,1,0,1
E33,2,2,0
E34,1,1,0
E36,1,1,0
E38,1,0,1
E40,1,1,0
E44,2,1,1
E46,1,0,1
E49,1,1,0
E50,1,1,0
E58,1,0,1
E63,1,0,1
E67,2,1,1
E68,1,1,0
E77,1,0,1
E8,2,2,0
F E69,1,1,0
F G63,1,0,1
F G73,2,0,2
F2,3,2,1
F33,3,3,0
F38,1,0,1
F4,2,2,0
G6,4,2,2
T,1,0,1
